epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,404.844,0.83366,0.5301,1.03062,0.93786,0.94193,0.93653,0.73994,0.80302,0.48301,0.93896,0.000848969,0.000848969,0.000848969
43,414.846,0.8231,0.52531,1.01732,0.97189,0.95197,0.95784,0.74811,0.79331,0.47692,0.9472,0.000834822,0.000834822,0.000834822
44,424.04,0.8055,0.51402,1.01936,0.94028,0.96166,0.96721,0.74738,0.8033,0.44888,0.95218,0.000820675,0.000820675,0.000820675
45,433.585,0.80187,0.50385,1.02757,0.98338,0.94115,0.97724,0.74431,0.80039,0.43578,0.96236,0.000806528,0.000806528,0.000806528
46,443.576,0.80701,0.51572,1.01968,0.93167,0.96288,0.96525,0.73035,0.87179,0.45392,0.95493,0.00079238,0.00079238,0.00079238
47,452.304,0.80532,0.51854,1.02811,0.93592,0.95245,0.95657,0.74643,0.81496,0.46227,0.94903,0.000778233,0.000778233,0.000778233
48,462.199,0.78206,0.49955,0.99721,0.97109,0.92112,0.9751,0.74396,0.84106,0.44598,0.95901,0.000764086,0.000764086,0.000764086
49,472.095,0.79503,0.50635,1.01495,0.96565,0.97241,0.97737,0.7541,0.78705,0.42819,0.93485,0.000749939,0.000749939,0.000749939
50,481.47,0.78295,0.48911,0.9973,0.95249,0.96792,0.97387,0.75368,0.79979,0.45559,0.94215,0.000735792,0.000735792,0.000735792
51,490.798,0.76814,0.47899,1.01121,0.96424,0.96048,0.97024,0.746,0.81407,0.45286,0.94525,0.000721645,0.000721645,0.000721645
52,500.726,0.75046,0.47443,1.00315,0.94186,0.95324,0.96499,0.75445,0.78131,0.44672,0.93585,0.000707498,0.000707498,0.000707498
53,510.457,0.75624,0.46418,0.99723,0.97464,0.9651,0.98353,0.74284,0.72302,0.44054,0.92897,0.000693351,0.000693351,0.000693351
54,519.596,0.7611,0.4803,1.00335,0.97892,0.96386,0.97736,0.74958,0.76349,0.44197,0.94107,0.000679204,0.000679204,0.000679204
55,529.149,0.74134,0.46079,0.98006,0.97053,0.95491,0.97682,0.76452,0.78207,0.40986,0.94306,0.000665057,0.000665057,0.000665057
56,539.413,0.76159,0.47674,1.00922,0.97042,0.93918,0.97615,0.74035,0.74531,0.44116,0.94719,0.000650909,0.000650909,0.000650909
57,548.914,0.71428,0.46035,0.98623,0.97734,0.94085,0.97764,0.75226,0.72841,0.41281,0.94264,0.000636762,0.000636762,0.000636762
58,558.218,0.75026,0.47443,0.99864,0.95213,0.96003,0.97977,0.74221,0.72536,0.40693,0.93585,0.000622615,0.000622615,0.000622615
59,568.119,0.72736,0.45402,0.98486,0.95673,0.96288,0.9715,0.73172,0.7694,0.45135,0.9474,0.000608468,0.000608468,0.000608468
60,577.868,0.73723,0.46628,0.99492,0.98715,0.95833,0.9853,0.76115,0.69992,0.37813,0.92605,0.000594321,0.000594321,0.000594321
61,587.564,0.68533,0.43586,0.96869,0.97144,0.94517,0.98148,0.75327,0.74381,0.40213,0.92944,0.000580174,0.000580174,0.000580174
62,597.285,0.69172,0.45028,0.98275,0.97494,0.94542,0.97362,0.76335,0.71078,0.40513,0.92517,0.000566027,0.000566027,0.000566027
63,607.091,0.7067,0.45188,0.98195,0.96924,0.92772,0.97486,0.76192,0.7366,0.42088,0.94086,0.00055188,0.00055188,0.00055188
64,616.035,0.68811,0.42647,0.97285,0.98078,0.93626,0.97028,0.75395,0.74715,0.4157,0.95243,0.000537733,0.000537733,0.000537733
65,625.619,0.69199,0.44693,0.97816,0.97017,0.91917,0.96316,0.75022,0.74387,0.44388,0.9493,0.000523586,0.000523586,0.000523586
66,635.381,0.71666,0.4572,0.99427,0.97368,0.96166,0.97722,0.74751,0.75608,0.42246,0.95618,0.000509438,0.000509438,0.000509438
67,645.315,0.67766,0.43281,0.97262,0.97442,0.92246,0.97684,0.75201,0.72285,0.43721,0.93592,0.000495291,0.000495291,0.000495291
68,654.347,0.69852,0.43852,0.97683,0.96026,0.93732,0.97258,0.75304,0.69037,0.44297,0.93269,0.000481144,0.000481144,0.000481144
69,664.328,0.6941,0.43259,0.9737,0.95393,0.96217,0.98178,0.7582,0.77126,0.42522,0.95349,0.000466997,0.000466997,0.000466997
70,674.18,0.68907,0.43864,0.97671,0.9509,0.97147,0.98298,0.77472,0.69336,0.38485,0.93349,0.00045285,0.00045285,0.00045285
71,683.138,0.65015,0.40823,0.96209,0.95813,0.95382,0.97353,0.76921,0.68093,0.42049,0.92772,0.000438703,0.000438703,0.000438703
72,692.989,0.65164,0.41426,0.96454,0.95477,0.97625,0.97627,0.75988,0.71969,0.41412,0.93382,0.000424556,0.000424556,0.000424556
73,702.935,0.67403,0.4337,0.97573,0.96213,0.97709,0.98584,0.7719,0.70586,0.38927,0.94207,0.000410409,0.000410409,0.000410409
74,712.531,0.67553,0.4134,0.97988,0.97033,0.9544,0.9727,0.74953,0.73248,0.40657,0.93727,0.000396262,0.000396262,0.000396262
75,721.796,0.6519,0.40725,0.95998,0.98553,0.94844,0.96451,0.75845,0.69856,0.4068,0.9365,0.000382115,0.000382115,0.000382115
76,731.607,0.63849,0.39433,0.94323,0.97762,0.96268,0.97413,0.77382,0.70299,0.41832,0.93232,0.000367967,0.000367967,0.000367967
77,741.453,0.6105,0.38426,0.93534,0.96691,0.94589,0.9749,0.77301,0.71962,0.41754,0.93364,0.00035382,0.00035382,0.00035382
